0,1,2,3,4
-1.6055,-1.7238,-1.2778,-1.6735,-2.1722
-1.0725,-1.1915,-1.0636,-1.2279,-1.1542
-0.66341,-0.9171,-0.5296,-0.89001,-0.53765
0.91791,0.2478,0.21417,0.31587,0.36407
3.0114,2.1452,1.3883,1.1907,2.3292
-0.64627,0.050298,1.3213,1.3124,0.053057
-2.1216,-1.0179,-0.13382,-0.11523,-1.5784
2.0381,1.0749,0.10034,0.4996,1.9101
4.6639,3.6112,2.0892,1.5538,4.0783
0.36001,0.92971,0.029943,0.30237,0.31169
-3.8104,-0.99295,-1.3961,1.3501,-0.29821
-2.1446,0.37691,0.08192,0.94179,1.7171
2.9584,2.6776,2.0738,1.045,1.9588
3.929,2.887,2.3695,1.1388,1.7113
-0.36497,0.65917,0.91153,0.95262,-0.76936
-3.5993,-1.5343,0.12249,0.29651,-1.8286
2.32,-0.15706,-0.24113,0.73514,1.8565
0.47061,-1.0091,-0.94513,-0.75406,-1.2587
-1.5456,-1.842,0.018073,-0.90488,-2.455
-2.7441,-2.9086,-2.0547,-3.0229,-3.8227
-0.49765,-1.9818,-2.5525,-2.3172,-1.0414
2.7191,0.90289,0.023063,0.25773,2.5957
-1.2207,-1.273,-1.2834,-1.1615,-1.8482
-3.884,-2.7526,-0.49804,-1.1125,-4.2477
-1.615,-1.9311,-1.5967,-2.1228,-2.3249
2.2451,0.83883,-0.50058,-0.94344,0.81176
-0.21456,0.10405,-0.94823,-1.0896,-1.5011
-1.6924,0.75219,0.19823,-0.065932,-0.68293
2.0012,2.0478,2.6241,2.125,4.1041
4.3589,2.9636,2.348,1.7223,4.2458
3.1804,2.791,0.95748,1.2129,1.8724
1.9551,1.7684,0.25926,0.29725,0.63992
-2.6182,-1.6821,-2.3216,-2.0913,-3.9477
-5.131,-3.4981,-2.9461,-2.0655,-3.619
-3.3094,-2.9251,-1.7426,-1.515,-1.2564
-1.4382,-1.4431,-0.64421,0.084687,-0.95478
-1.4855,-0.26769,-0.023902,-0.15041,-0.86958
-1.2227,0.12891,-0.17363,-0.03778,-0.80877
-0.69946,-1.2753,-0.7811,-0.58296,-0.9027
-0.20033,-1.3284,-1.0157,-0.45515,-0.52655
1.2814,0.5871,1.2449,1.427,2.502
1.6745,1.8728,2.8765,2.4553,3.2163
-0.33375,-0.2895,1.0083,0.8041,-0.10999
-0.40088,-1.3161,-1.2975,-0.56418,-1.6677
0.38789,-0.53993,-0.6671,-0.46417,-0.097083
0.62231,0.089421,0.075499,0.034139,0.47873
0.4567,0.10539,0.10937,0.30577,0.7299
0.98449,0.39089,1.0817,1.0878,1.812
3.7856,2.6625,3.5534,2.9775,4.8378
5.2003,4.2357,2.7259,2.7261,5.0314
1.647,2.7271,0.91875,2.6449,2.26
2.4028,2.6808,1.2667,1.142,1.8685
-0.59442,-0.39613,-0.9486,-1.1857,-2.5549
-2.4804,-1.6045,-1.2054,-1.4498,-2.6361
-1.6071,0.02683,0.45839,-0.43323,-0.37159
-1.2987,0.66351,0.38396,-0.27795,-0.67465
-1.0769,-0.76099,-0.81461,-0.67419,-1.2526
-0.79496,-1.6197,-1.2816,0.29314,0.27777
-0.49162,-1.4382,-0.34276,-0.37639,-0.23569
-0.45266,-0.6443,0.11089,-0.59144,0.92605
2.2899,2.0274,1.935,1.3011,2.047
0.22861,0.44776,1.1139,0.2801,-0.60471
-1.3643,-1.2995,-1.0895,-1.2991,-2.6018
-0.25473,-0.52941,-1.0512,-1.2423,0.99233
0.80338,0.0029636,-0.39363,-0.94134,0.98975
0.52175,0.28732,-0.13384,-0.15848,-0.69851
2.6236,1.786,1.0285,1.2832,1.2446
-0.75487,-0.14158,-0.83857,0.63221,-0.75847
-2.2576,-1.1956,-1.0587,-1.0341,-2.9542
-1.059,-0.75867,-0.40236,-0.72512,-1.5451
-0.32546,-0.46306,0.80141,1.887,1.5945
-0.32951,0.12518,2.4026,1.8818,1.4941
-0.29282,1.3781,1.7009,0.10127,-0.60718
-0.42923,0.072792,-1.643,-2.2894,-3.082
0.017847,-0.49101,-1.7918,-1.8665,-1.926
2.4895,2.308,1.634,0.61845,2.842
5.1473,4.2912,2.6302,1.7888,4.6655
1.4699,2.2333,1.7883,1.1097,1.7975
-4.1901,-1.0859,-0.48912,-0.55666,-1.8741
-2.9423,-2.9787,-2.2466,-1.5677,-1.3547
3.2509,0.22866,0.6509,0.36978,2.3059
1.0923,-0.29773,-1.4242,-1.4511,-2.6144
-2.4522,-2.1627,-2.989,-2.3956,-4.138
-2.5269,-2.174,-2.3777,-1.7429,-2.3878
-1.3334,-1.3915,-1.2903,-0.9623,-1.86
0.65407,-0.48039,-0.54004,1.4449,1.3348
3.7474,1.828,1.1396,0.99264,2.6623
-0.70567,-0.090629,-0.60779,-0.70856,-2.4368
-3.9398,-0.69086,-0.70024,-0.59214,-1.2726
-2.0685,-0.7798,-0.72829,-0.72686,-1.1169
-0.69576,-1.2139,-1.2028,-0.93261,-1.7315
1.2771,-0.58313,0.21381,0.26039,1.024
4.4914,2.4285,2.3512,1.7704,4.0416
2.2376,1.2679,0.88475,0.51442,1.0699
-3.273,-2.1564,-2.2098,-1.2659,-4.6298
-4.0867,-3.3396,-1.8454,-1.2998,-2.1638
-1.3377,-1.9267,-0.54682,-0.32313,-0.17751
1.0996,1.289,1.6694,1.5404,2.3558
1.0949,1.4848,1.4366,0.98195,1.5454
-1.5571,-1.0519,-1.0143,0.86124,-0.39741
-0.12235,-1.2081,-0.34957,0.29713,0.69938
0.43421,-0.58682,1.364,0.80254,1.0479
4.0991,2.3848,2.7741,2.286,4.7107
3.8257,3.1741,2.0016,1.6951,3.447
0.50306,1.0417,0.17006,-0.46465,-0.92296
-4.4507,-2.3331,-2.5302,-2.1956,-5.1497
-3.7866,-2.6915,-1.3711,-1.5469,-0.64438
-0.36716,0.33576,0.73962,0.050831,1.7094
0.26983,0.85597,0.53097,0.070698,-0.35458
-1.6282,-0.58735,-0.57587,-0.50845,-2.4904
-1.5187,0.15843,0.13361,0.27274,-0.17889
2.106,1.9838,3.0958,2.6781,3.7013
2.5806,1.6808,1.0946,0.62474,1.3521
-1.3038,-1.6784,-2.6297,-1.7093,-4.2791
2.1511,0.10863,0.28368,0.93593,3.016
4.44,2.4768,2.2675,1.5018,4.2016
3.3559,2.2767,1.4019,2.2891,2.9226
1.6206,1.1901,0.18091,0.58129,1.1098
0.49072,0.5262,0.09332,-0.20263,0.11989
0.054959,0.59089,0.24297,-0.5117,-0.32721
-4.3609,-2.4266,-2.4254,-2.6048,-5.1553
-5.294,-4.1874,-3.4051,-2.5189,-5.0778
-2.8564,-3.1929,-1.8096,-1.7293,-1.4957
-1.591,-2.1497,-1.0631,0.4422,0.86997
-1.0414,-0.95198,-0.60054,0.99488,0.23785
-1.2223,-0.68992,-0.56598,0.53826,-0.59086
-0.66039,-0.5653,-0.44472,-1.4277,-1.9372
-0.37737,-0.48683,-0.091704,-1.6192,-2.0786
0.072916,0.21216,2.2085,0.49884,0.86601
0.33552,0.5393,1.9882,0.50476,0.80966
0.37899,0.46439,0.87718,-0.10288,-0.23032
4.1541,3.0145,1.6445,0.92353,3.3383
5.1912,5.2365,2.7019,1.9542,4.328
3.7962,4.0078,2.8079,2.186,3.2407
3.403,3.9068,1.5285,0.93528,2.2141
0.57444,0.9988,-0.84061,-0.7686,-1.178
-4.1796,-1.0472,-2.1338,-1.5014,-4.2285
-3.7215,-0.78572,-1.5336,-1.3667,-1.2324
-1.5614,-0.76513,-1.4014,-0.45249,-0.51866
1.6622,-0.42929,-0.54725,-0.090288,1.4897
0.10722,-1.3639,-1.431,-1.4495,-0.29877
-2.0123,-2.3519,-0.58411,-0.28119,-2.3468
-1.4672,-2.0367,-1.3806,-1.1593,-2.8172
-0.45382,-1.2546,-0.85898,-0.57525,-1.4567
0.22087,-0.70395,0.18375,-0.18597,1.3851
4.6581,2.8291,1.7133,1.586,3.3044
4.2921,3.5844,2.1233,1.691,2.575
1.0813,2.1822,0.99844,1.172,0.52288
0.54442,1.3643,0.45054,0.23304,0.41451
-2.5619,-2.1349,-2.4153,-0.29781,-3.0327
-3.0974,-3.1755,-2.2394,-0.57149,-2.1169
-1.6547,-2.2519,-1.1622,-0.13894,-0.6077
-1.4059,-1.9263,0.89424,1.3435,0.62716
-1.3259,-1.5456,0.44451,0.55184,1.1365
-1.0393,-0.03747,-0.55356,-1.2618,-2.6532
0.26917,0.31968,-0.43262,-1.6883,-2.0525
0.0014522,-0.42871,-0.77729,-1.4038,-1.3598
-0.48036,-0.72885,-0.50674,-0.95192,-1.147
-0.20054,-0.49407,-0.14561,0.55908,0.73041
0.058349,-0.22763,-0.092516,-0.39404,-0.12431
0.24502,0.48565,0.52266,0.91485,0.5805
0.26284,1.1705,0.83058,1.9259,3.4928
0.37647,0.26431,0.35593,0.45897,1.4496
0.4463,-0.014437,0.2989,-0.93037,-2.0355
0.5051,0.13821,2.4209,0.87211,0.99939
3.4618,2.1362,2.9848,1.633,4.713
5.4436,4.1028,2.826,1.9691,4.3544
4.3625,3.9682,2.2405,1.5489,2.7688
2.9556,3.0337,1.1777,0.85682,2.0617
0.24264,0.75361,-0.56717,-0.27353,-0.58528
-4.5015,-2.4352,-1.0645,0.50665,-1.9087
-4.4655,-3.3449,0.22818,-0.24467,-1.6858
