0,0,1
1,0,1
4,0,1
1,1,1
2,1,1
2,2,1
3,2,1
7,2,1
22,2,1
27,2,1
3,3,1
4,3,1
4,4,1
5,5,1
6,5,1
9,5,1
6,6,1
7,6,1
7,7,1
8,7,1
12,7,1
8,8,1
9,8,1
9,9,1
10,10,1
11,10,1
14,10,1
11,11,1
12,11,1
12,12,1
13,12,1
17,12,1
13,13,1
14,13,1
14,14,1
15,15,1
16,15,1
19,15,1
16,16,1
17,16,1
17,17,1
18,17,1
22,17,1
18,18,1
19,18,1
19,19,1
20,20,1
21,20,1
24,20,1
21,21,1
22,21,1
22,22,1
23,22,1
23,23,1
24,23,1
24,24,1
25,25,1
26,25,1
29,25,1
26,26,1
27,26,1
27,27,1
28,27,1
32,27,1
47,27,1
28,28,1
29,28,1
29,29,1
30,30,1
31,30,1
34,30,1
31,31,1
32,31,1
32,32,1
33,32,1
37,32,1
33,33,1
34,33,1
34,34,1
35,35,1
36,35,1
39,35,1
36,36,1
37,36,1
37,37,1
38,37,1
42,37,1
38,38,1
39,38,1
39,39,1
40,40,1
41,40,1
44,40,1
41,41,1
42,41,1
42,42,1
43,42,1
47,42,1
43,43,1
44,43,1
44,44,1
45,45,1
46,45,1
49,45,1
46,46,1
47,46,1
47,47,1
48,47,1
48,48,1
49,48,1
49,49,1
