0,1,2,3,4,5,6,7,8,9
-1.5936,-1.3153,-1.5714,-2.3918,-2.8309,-0.13573,-0.44593,-2.5962,-1.3411,-0.88535
-1.1369,-0.66615,-1.514,-1.3073,0.55841,-2.4879,1.8056,-0.87726,2.691,1.0708
-0.46637,-1.1707,-0.4352,-0.9074,1.3487,2.4339,3.387,3.0346,-1.2349,-1.3948
0.90301,-0.71619,-1.1315,-1.1683,-0.93268,2.6492,1.2464,2.6078,0.47866,1.0185
1.425,0.38925,0.54797,-0.58984,-2.6522,1.3634,0.91763,-1.9934,-0.1723,0.67536
-0.25577,-0.31981,4.7269,1.5879,0.35062,-1.7834,-1.96,-0.67179,-1.1251,-0.60364
-0.70326,0.71804,1.5993,2.8608,-0.84789,-3.9353,-2.6241,-0.11352,-0.97689,-1.9788
2.884,1.1829,-0.14974,1.0724,0.036724,-0.60293,-2.9548,-0.28817,-1.9409,-0.40607
3.2942,1.4623,-0.34865,0.072306,1.053,0.76983,-0.69361,-0.85633,0.43446,-0.38163
-1.5369,-0.96626,-0.93307,0.90166,1.4701,-0.46121,-0.7365,0.36501,0.31828,-0.61612
-3.5461,3.1214,0.11451,3.3951,3.1374,0.062298,-0.57775,0.25541,3.9445,0.47685
-0.74232,4.7122,0.058851,3.3866,4.749,-0.11863,1.2316,-0.12117,3.4206,1.3473
3.9405,2.8891,0.99734,0.1033,0.74706,-0.066041,-0.23722,0.31404,1.8948,1.7223
2.9037,2.4234,0.070527,-1.986,-1.6773,2.6654,-0.072614,0.40701,1.3388,2.3731
-2.6665,0.59936,2.7966,1.7027,0.3373,3.0854,-0.16284,3.2001,-0.57699,2.5293
-2.9693,-1.2406,4.2467,3.0311,1.2819,-1.4715,-0.0604,3.2668,0.49126,-1.0999
3.7592,-3.5785,-1.7405,1.0151,1.029,-0.17808,-0.14839,-2.8167,-1.2657,-0.34304
0.2776,-2.0631,-0.63523,0.71419,-0.37399,-0.67622,1.2368,1.3653,-3.5853,-1.6905
-1.605,-0.80024,0.99663,-0.81029,0.46524,-0.030356,-0.6172,2.4195,-1.6819,1.4957
-1.597,-3.6109,-2.0003,-2.7783,-2.6918,-0.65056,-1.5609,2.4827,0.30711,2.3753
1.3066,-1.4888,-4.202,-3.7571,0.26326,-0.096229,-0.96706,-1.0408,-0.93063,-1.1162
2.8828,-2.4323,-1.3483,-1.4882,1.9092,0.53437,0.27989,-3.6735,-2.2856,-2.9464
-4.224,-2.1632,1.0612,1.0639,-2.5696,0.028498,-0.20009,-3.502,0.23171,0.36852
-2.6134,-1.8102,0.94937,-1.0219,-2.0024,2.2771,1.9834,0.85926,3.3535,3.3053
0.31753,-1.332,-0.42784,-3.88,-2.9015,3.4381,1.4627,2.044,2.1261,1.8929
2.8247,1.0339,-2.71,-3.4743,-0.91525,0.073306,0.36996,-2.1039,0.66385,0.42326
1.6555,1.3362,-1.2251,-2.4962,-0.51644,-2.2,2.0734,-4.2746,-0.90384,-1.6368
-0.64263,5.051,0.56087,-0.21577,-1.2801,-1.0704,0.34564,-0.96611,-0.28892,-1.0734
0.3616,3.1778,4.8364,1.136,2.3391,-0.40071,-0.21742,1.5151,-3.3247,-1.5677
1.6261,0.7136,-0.30292,1.3919,2.7363,1.4901,1.984,2.1797,-1.7704,-1.1139
1.7408,1.5199,-0.66702,-0.037955,1.0748,1.129,2.441,1.4567,-1.9494,-0.72375
1.3163,1.2186,-2.2553,0.077095,-1.3644,-3.4471,0.37986,-0.46303,-1.9974,1.1117
-2.1695,-2.8585,-2.9518,0.7931,-3.1663,-1.1785,-2.523,-0.25579,0.3069,0.14287
-4.308,-3.0618,-0.49397,-1.8115,-1.2368,-1.7965,-2.0436,0.32897,2.0488,-1.6803
-1.6377,-2.7561,-2.0909,-0.97652,-1.1843,-2.1165,-2.6062,-0.30606,0.92469,-0.28835
-2.6503,0.81766,-1.7434,0.25767,-2.1027,-0.022965,-0.79327,-0.75242,-2.3619,-0.23238
-1.1993,2.4099,-1.0414,0.80774,0.2562,-0.52628,-1.2945,-2.8754,1.4907,-1.2257
-0.76258,3.9422,1.5309,-0.11327,-0.26378,0.056618,-0.071818,-1.5343,-2.0713,-0.8618
-1.2936,-1.4459,0.96548,-1.2652,-0.85395,0.95506,-0.11001,-1.2087,-0.96244,-0.6058
0.014482,-3.7397,0.21848,0.30816,-0.1677,1.8908,-0.72302,-1.1303,2.4621,2.0558
0.21117,0.14252,1.0285,0.21597,0.50352,2.7942,0.44308,3.1639,1.9931,1.9927
0.83773,0.71014,4.0517,1.3279,0.70287,0.13518,2.0153,4.192,2.9133,3.1175
-0.65617,-2.5445,0.96519,2.3094,-0.46267,-1.5916,3.1111,3.1772,-0.23594,-1.5015
-0.8194,-3.5387,-1.2148,0.99167,-2.1859,0.19321,1.6885,-3.6731,-2.9616,-3.2791
-1.2225,-2.5457,-1.4776,-1.1668,-0.10025,-0.51795,0.46752,0.99884,0.098763,-0.3436
0.9496,0.32053,-1.954,-0.85417,0.34342,0.54971,-0.53385,-0.55434,-2.1959,-1.5525
1.0986,0.78221,-1.1743,0.81536,-0.40777,-0.59229,0.63007,-1.8908,-1.7592,-0.53375
0.48649,1.1352,1.5076,0.68629,4.0532,-1.361,0.37756,1.9018,-1.2386,1.8714
5.0607,0.47702,2.2304,1.8739,0.63961,2.6217,-0.052365,1.4382,1.2399,2.892
4.4098,2.4633,0.84287,2.2533,2.6175,0.071475,1.6343,1.6464,1.8326,-0.69611
-0.24742,5.2729,0.54045,2.7272,3.3114,0.44353,1.3848,0.43287,0.62202,-2.6445
2.4337,1.8906,0.17169,2.9833,0.9882,0.70524,0.071555,-2.2309,-0.73156,-2.3168
-0.52908,0.7278,-0.39756,-0.036478,-1.0811,1.5527,0.30329,-0.40627,1.0116,-0.6101
-1.5611,-1.1065,0.047549,-1.3647,0.050886,1.4266,0.77553,1.4021,1.6206,-0.6753
-1.6618,1.8103,2.7903,-0.94593,-2.4648,1.0571,1.7678,0.67214,1.3988,2.4179
